TagId,TagName,Area,IOType,Unit,ApplicationName,InstrumentDescription,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
PTSH,Plain Tray Sugar Hopper Motor ,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_PTSH,PLAIN TRAY SUGAR HOPPER MOTOR ON ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SE,Sugar Elevator Motor,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_SE,SUGAR ELEVATOR MOTOR ON ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SG,Sugar Grader Motor,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_SG,SUGAR GRADER MOTOR ON  ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_101,CC Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_101,CANE CARRIER RPM ,0,1480,400,900,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_102,FD Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_102,FEEDER DRUM RPM ,0,1480,550,1200,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_103,SCBelt Conveyor Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_103,SCBELT CONVEYOR RPM ,0,1465,700,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_104,0 Mill Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_104,0 MILL RPM ,0,1000,350,850,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_105,Hot Water Imb Pump Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_105,HOT WATER Imb PUMP RPM ,0,1480,,800,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_106,Irc 1  Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_106,IRC 1  RPM ,0,1480,700,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_107,Irc 2  Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_107,IRC 2  RPM ,0,1480,700,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_108,Irc 3  Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_108,IRC 3  RPM ,0,1480,700,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_109,Irc 4  Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_109,IRC 4  RPM ,0,1480,700,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
SI_110,SC Rpm ,MILL HOUSE,AI,RPM,Mill_House.SI_110,SC RPM ,0,1480,400,1350,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
